ar,bn,en,es,fr,hi,ja,ko,pa,pt,ru,tr,uk,vi,zh
أخصائي علم الوراثة الطبية,মেডিকেল জেনেটিক্সিস্ট,Medical Geneticist,Genetista Médico(a),Généticien médical,चिकित्सा आनुवंशिकीविद्,臨床遺伝専門医,의학유전학 전문가,ਮੈਡੀਕਲ ਜੈਨੇਟਿਕਸ ਮਾਹਿਰ,Geneticista Médico(a),Врач-генетик,Tıbbi Genetik Uzmanı,Медичний генетик,Bác sĩ di truyền y học,医学遗传学家
طبيب أمراض الشيخوخة,জেরিয়াট্রিশিয়ান,Geriatrician,Geriatra,Gériatre,जराचिकित्सक,老年病専門医,노인의학 전문의,ਬਜ਼ੁਰਗਾਂ ਦੇ ਰੋਗਾਂ ਦਾ ਮਾਹਿਰ,Geriatra,Гериатр,Geriatri Uzmanı,Геріатр,Bác sĩ lão khoa,老年病学家
أخصائي أعشاب,হার্বালিস্ট,Herbalist,Herbolario(a),Herboriste,औषधि माहिर,ハーバリスト,약초 전문가,ਜੜੀ-ਬੂਟੀਆਂ ਦਾ ਮਾਹਿਰ,Ervanário(a),Травник / Фитотерапевт,Herbalist (Bitki Uzmanı),Травник (Фітотерапевт),Thầy thuốc thảo dược,草药师
فني الأنسجة,হিস্টোটেকনিশিয়ান,Histotechnician,Histotécnico(a),Histotechnicien,Histotechnician,組織技術者,조직병리 기술자,ਹਿਸਟੋਟੈਕਨੀਸ਼ੀਅਨ,Histotécnico(a),Гистотехник,Histoteknisyen,Гістотехнік,Kỹ thuật viên mô học,组织技术员
المعالج المثلي,হোমিওপ্যাথ,Homeopath,Homeópata,Homéopathe,समाचिकित्सक,ホメオパス,동종요법 치료사,ਹੋਮਿਓਪੈਥ,Homeopata,Гомеопат,Homeopat,Гомеопат,Bác sĩ vi lượng đồng căn,顺势疗法医师
أخصائي صحة الأسنان,ডেন্টাল হাইজিনিস্ট,Dental Hygienist,Higienista Dental,Hygiéniste dentaire,दंत चिकित्सक,歯科衛生士,치과위생사,ਦੰਦਾਂ ਦਾ ਸਫਾਈ ਮਾਹਿਰ,Higienista Dental,Стоматологический гигиенист,Diş Hijyenisti,Стоматологічний гігієніст,Kỹ thuật viên vệ sinh răng miệng,口腔卫生士
أخصائي أمراض الدم,হেমাটোলজিস্ট,Hematologist,Hematólogo(a),Hématologue,रुधिर रोग विशेषज्ञ,血液専門医,혈액종양내과 전문의,ਹੇਮਾਟੋਲੋਜਿਸਟ,Hematologista,Гематолог,Hematoloji Uzmanı,Гематолог,Bác sĩ huyết học,血液科医生
أخصائي أمراض الكبد,হেপাটোলজিস্ট,Hepatologist,Hepatólogo(a),Hépatologue,हेपेटोलॉजिस्ट,肝臓専門医,간 전문의,ਹੈਪੇਟੋਲੋਜਿਸਟ,Hepatologista,Гепатолог,Hepatoloji Uzmanı,Гепатолог,Bác sĩ gan mật,肝病专家
أخصائي المناعة,ইমিউনোলজিস্ট,Immunologist,Inmunólogo(a),Immunologiste,प्रतिरक्षाविज्ञानी,免疫専門医,면역학자,ਇਮਯੂਨੋਲੋਜਿਸਟ,Imunologista,Иммунолог,İmmünoloji Uzmanı,Імунолог,Bác sĩ miễn dịch học,免疫学家
أخصائي زراعة القوقعة,কক্লিয়ার ইমপ্লান্ট বিশেষজ্ঞ,Cochlear Implant Specialist,Especialista en Implantes Cocleares,Spécialiste en implants cochléaires,कोक्लीयर इम्प्लांट विशेषज्ञ,人工内耳スペシャリスト,인공와우 전문가,ਕੋਕਲੀਅਰ ਇਮਪਲਾਂਟ ਮਾਹਿਰ,Especialista em Implante Coclear,Специалист по кохлеарной имплантации,Koklear İmplant Uzmanı,Спеціаліст з кохлеарної імплантації,Chuyên gia cấy ghép ốc tai điện tử,人工耳蜗植入专家
أخصائي زراعة الأسنان,ডেন্টাল ইমপ্লান্ট বিশেষজ্ঞ,Dental Implant Specialist,Especialista en Implantes Dentales,Spécialiste en implants dentaires,दंत प्रत्यारोपण विशेषज्ञ,歯科インプラント専門医,치과 임플란트 전문의,ਡੈਂਟਲ ਇਮਪਲਾਂਟ ਮਾਹਿਰ,Especialista em Implante Dentário,Специалист по дентальной имплантации,Diş İmplantı Uzmanı,Спеціаліст з дентальної імплантації,Chuyên gia cấy ghép nha khoa,牙科种植专家
أخصائي الأمراض المعدية,সংক্রামক রোগ বিশেষজ্ঞ,Infectious Disease Specialist,Especialista en Enfermedades Infecciosas,Spécialiste des maladies infectieuses,संक्रामक रोग विशेषज्ञ,感染症専門医,감염내과 전문의,ਛੂਤ ਦੀਆਂ ਬਿਮਾਰੀਆਂ ਦਾ ਮਾਹਿਰ,Infectologista,Инфекционист,Enfeksiyon Hastalıkları Uzmanı,Інфекціоніст,Bác sĩ bệnh truyền nhiễm,传染病专家
ممرضة تخدير,অ্যানেস্থেটিস্ট নার্স,Anesthetist Nurse,Enfermero(a) Anestesista,Infirmière anesthésiste,एनेस्थेटिस्ट नर्स,麻酔看護師,마취전문간호사,ਬੇਹੋਸ਼ੀ ਵਾਲੀ ਨਰਸ,Enfermeiro(a) Anestesista,Медсестра-анестезист,Anestezi Hemşiresi,Медсестра-анестезист,Y tá gây mê,麻醉护士
ممرضة غرفة العمليات,অপারেটিং রুম নার্স,Operating Room Nurse,Enfermero(a) de Quirófano,Infirmière de salle d'opération,ऑपरेटिंग रूम नर्स,手術室看護師,수술실 간호사,ਆਪ੍ਰੇਸ਼ਨ ਥੀਏਟਰ ਨਰਸ,Enfermeiro(a) de Centro Cirúrgico,Операционная медсестра,Ameliyathane Hemşiresi,Операційна медсестра,Y tá phòng mổ,手术室护士
ممرضة مؤهلة من الدولة,রাষ্ট্র-যোগ্য নার্স,State-Qualified Nurse,Enfermero(a) Titulado(a) por el Estado,Infirmière diplômée d'État,राज्य-योग्य नर्स,正看護師,간호사,ਰਾਜ-ਪ੍ਰਮਾਣਿਤ ਨਰਸ,Enfermeiro(a) Graduado(a),Дипломированная медсестра,Diplomalı Hemşire,Дипломована медсестра,Y tá bằng quốc gia,注册护士
ممرضة غسيل الكلى,ডায়ালাইসিস নার্স,Dialysis Nurse,Enfermero(a) de Diálisis,Infirmière en dialyse,डायलिसिस नर्स,透析看護師,혈액투석실 간호사,ਡਾਇਲਸਿਸ ਨਰਸ,Enfermeiro(a) de Diálise,Медсестра диализного центра,Diyaliz Hemşiresi,Медсестра діалізу,Y tá chạy thận,透析护士
ممرضة الأورام,অনকোলজি নার্স,Oncology Nurse,Enfermero(a) de Oncología,Infirmière en oncologie,ओन्कोलॉजी नर्स,腫瘍看護師,종양전문간호사,ਓਨਕੋਲੋਜੀ ਨਰਸ,Enfermeiro(a) de Oncologia,Онкологическая медсестра,Onkoloji Hemşiresi,Онкологічна медсестра,Y tá ung bướu,肿瘤科护士
ممرضة نفسية,সাইকিয়াট্রিক নার্স,Psychiatric Nurse,Enfermero(a) Psiquiátrico(a),Infirmière psychiatrique,मनोरोग नर्स,精神科看護師,정신건강간호사,ਮਨੋਵਿਗਿਆਨਕ ਨਰਸ,Enfermeiro(a) Psiquiátrico(a),Психиатрическая медсестра,Psikiyatri Hemşiresi,Психіатрична медсестра,Y tá tâm thần,精神科护士
ممرضة أطفال,পেডিয়াট্রিক নার্স,Pediatric Nurse,Enfermero(a) Pediátrico(a),Infirmière pédiatrique,बाल चिकित्सा नर्स,小児看護師,아동전문간호사,ਬਾਲ ਰੋਗ ਨਰਸ,Enfermeiro(a) Pediátrico(a),Детская медсестра,Pediatri Hemşiresi,Педіатрична медсестра,Y tá nhi khoa,儿科护士
ممرضة الصحة المهنية,অকুপেশনাল হেলথ নার্স,Occupational Health Nurse,Enfermero(a) de Salud Ocupacional,Infirmière en santé au travail,व्यावसायिक स्वास्थ्य नर्स,産業保健看護師,산업전문간호사,ਕਿੱਤਾਮੁਖੀ ਸਿਹਤ ਨਰਸ,Enfermeiro(a) do Trabalho,Медсестра по гигиене труда,İş Sağlığı Hemşiresi,Медсестра з гігієни праці,Y tá y tế nghề nghiệp,职业健康护士
ممرضة صحة المجتمع,কমিউনিটি হেলথ নার্স,Community Health Nurse,Enfermero(a) de Salud Comunitaria,Infirmière en santé communautaire,सामुदायिक स्वास्थ्य नर्स,地域保健看護師,지역사회 보건간호사,ਕਮਿਊਨਿਟੀ ਸਿਹਤ ਨਰਸ,Enfermeiro(a) de Saúde Comunitária,Участковая медсестра,Toplum Sağlığı Hemşiresi,Громадська медсестра,Y tá y tế cộng đồng,社区护士
ممرضة العناية المركزة,ইনটেনসিভ কেয়ার নার্স,Intensive Care Nurse,Enfermero(a) de Cuidados Intensivos,Infirmière en soins intensifs,गहन चिकित्सा नर्स,集中治療看護師,중환자실 간호사,ਇੰਟੈਂਸਿਵ ਕੇਅਰ ਨਰਸ,Enfermeiro(a) de Terapia Intensiva,Медсестра отделения интенсивной терапии,Yoğun Bakım Hemşiresi,Медсестра інтенсивної терапії,Y tá hồi sức tích cực,重症监护护士
ممرضة رعاية منزلية مستقلة,স্বাধীন হোম কেয়ার নার্স,Independent Home Care Nurse,Enfermero(a) Independiente a Domicilio,Infirmière indépendante à domicile,स्वतंत्र होम केयर नर्स,訪問看護師,독립 재택의료 간호사,ਸੁਤੰਤਰ ਹੋਮ ਕੇਅਰ ਨਰਸ,Enfermeiro(a) Domiciliar Autônomo(a),Частная патронажная медсестра,Bağımsız Evde Bakım Hemşiresi,Незалежна медсестра з догляду на дому,Y tá chăm sóc tại nhà độc lập,独立家庭护士
ممرضة عسكرية,মিলিটারি নার্স,Military Nurse,Enfermero(a) Militar,Infirmière militaire,सैन्य नर्स,軍看護師,군 간호사,ਮਿਲਟਰੀ ਨਰਸ,Enfermeiro(a) Militar,Военная медсестра,Askeri Hemşire,Військова медсестра,Y tá quân đội,军队护士
ممرضة المدرسة,স্কুল নার্স,School Nurse,Enfermero(a) Escolar,Infirmière scolaire,स्कूल नर्स,学校看護師,보건교사,ਸਕੂਲ ਨਰਸ,Enfermeiro(a) Escolar,Школьная медсестра,Okul Hemşiresi,Шкільна медсестра,Y tá học đường,学校护士
ممرضة الرعاية المنزلية,হোম কেয়ার নার্স,Home Care Nurse,Enfermero(a) a Domicilio,Infirmière à domicile,होम केयर नर्स,在宅看護師,가정전문간호사,ਹੋਮ ਕੇਅਰ ਨਰਸ,Enfermeiro(a) de Cuidado Domiciliar,Патронажная медсестра,Evde Bakım Hemşiresi,Патронажна медсестра,Y tá chăm sóc tại nhà,家庭护士
مهندس معلوماتية طبية,মেডিকেল ইনফরমেটিক্স ইঞ্জিনিয়ার,Medical Informatics Engineer,Ingeniero(a) en Informática Médica,Ingénieur en informatique médicale,मेडिकल इन्फॉर्मेटिक्स इंजीनियर,医療情報エンジニア,의료정보 엔지니어,ਮੈਡੀਕਲ ਸੂਚਨਾ ਇੰਜੀਨੀਅਰ,Engenheiro(a) de Informática Médica,Инженер по медицинской информатике,Tıbbi Bilişim Mühendisi,Інженер з медичної інформатики,Kỹ sư tin học y tế,医学信息工程师
مهندس الذكاء الاصطناعي الصحي,হেলথ এআই ইঞ্জিনিয়ার,Health AI Engineer,Ingeniero(a) de IA en Salud,Ingénieur en IA pour la santé,स्वास्थ्य एआई इंजीनियर,医療AIエンジニア,의료 AI 엔지니어,ਸਿਹਤ AI ਇੰਜੀਨੀਅਰ,Engenheiro(a) de IA em Saúde,Инженер по ИИ в здравоохранении,Sağlık Yapay Zeka Mühendisi,Інженер зі штучного інтелекту в охороні здоров'я,Kỹ sư AI trong y tế,医疗人工智能工程师
مهندس الطب الحيوي,বায়োমেডিকেল ইঞ্জিনিয়ার,Biomedical Engineer,Ingeniero(a) Biomédico(a),Ingénieur biomédical,बायोमेडिकल इंजीनियर,生体医工学エンジニア,의공학 엔지니어,ਬਾਇਓਮੈਡੀਕਲ ਇੰਜੀਨੀਅਰ,Engenheiro(a) Biomédico(a),Биомедицинский инженер,Biyomedikal Mühendisi,Біомедичний інженер,Kỹ sư y sinh,生物医学工程师
مهندس السلامة الصحية,স্বাস্থ্য সুরক্ষা প্রকৌশলী,Health Safety Engineer,Ingeniero(a) de Seguridad Sanitaria,Ingénieur en santé et sécurité,स्वास्थ्य सुरक्षा इंजीनियर,医療安全エンジニア,보건안전 엔지니어,ਸਿਹਤ ਸੁਰੱਖਿਆ ਇੰਜੀਨੀਅਰ,Engenheiro(a) de Segurança Sanitária,Инженер по технике безопасности в здравоохранении,Sağlık Güvenliği Mühendisi,Інженер з охорони праці та здоров'я,Kỹ sư an toàn y tế,健康安全工程师
طبيب باطني,ইন্টারনিস্ট,Internist,Internista,Interniste,इंटरनिस्ट,内科医,내과 의사,ਇੰਟਰਨਿਸਟ,Médico(a) Internista,Врач-терапевт / Интернист,Dahiliye Uzmanı,Інтерніст (Терапевт),Bác sĩ nội khoa,内科医生
مترجم طبي,মেডিকেল ইন্টারপ্রেটার,Medical Interpreter,Intérprete Médico(a),Interprète médical,चिकित्सा दुभाषिया,医療通訳者,의료 통역사,ਮੈਡੀਕਲ ਦੁਭਾਸ਼ੀਆ,Intérprete Médico(a),Медицинский переводчик,Tıbbi Tercüman,Медичний перекладач,Thông dịch viên y khoa,医疗口译员
محامي الصحة,স্বাস্থ্য আইনজীবী,Health Lawyer,Abogado(a) de la Salud,Avocat spécialisé en santé,स्वास्थ्य वकील,医療専門弁護士,의료 전문 변호사,ਸਿਹਤ ਵਕੀਲ,Advogado(a) da Saúde,Юрист в сфере здравоохранения,Sağlık Hukuku Avukatı,Юрист у сфері охорони здоров'я,Luật sư y tế,医疗领域律师
أخصائي العلاج الطبيعي,ফিজিওথেরাপিস্ট,Physiotherapist,Fisioterapeuta,Physiothérapeute,फ़िज़ियोथेरेपिस्ट,理学療法士,물리치료사,ਫਿਜ਼ੀਓਥੈਰੇਪਿਸਟ,Fisioterapeuta,Физиотерапевт,Fizyoterapist,Фізіотерапевт,Chuyên viên vật lý trị liệu,物理治疗师
عامل غسيل ملابس في المستشفى,হাসপাতাল লন্ড্রি কর্মী,Hospital Laundry Worker,Trabajador(a) de Lavandería de Hospital,Employé de blanchisserie d'hôpital,अस्पताल लाँड्री कर्मचारी,病院リネン係,병원 세탁 담당자,ਹਸਪਤਾਲ ਦਾ ਲਾਂਡਰੀ ਕਰਮਚਾਰੀ,Funcionário(a) da Lavanderia Hospitalar,Работник больничной прачечной,Hastane Çamaşırhane Çalışanı,Працівник лікарняної пральні,Nhân viên giặt ủi bệnh viện,医院洗衣房工人
فني الأشعة,রেডিওলজিক টেকনোলজিস্ট,Radiologic Technologist,Técnico(a) en Radiología,Technologue en radiologie,रेडियोलॉजिक टेक्नोलॉजिस्ट,放射線技師,방사선사,ਰੇਡੀਓਲੋਜਿਕ ਤਕਨੀਸ਼ੀਅਨ,Tecnólogo(a) em Radiologia,Рентгенолаборант,Radyoloji Teknisyeni,Рентгенолаборант,Kỹ thuật viên chẩn đoán hình ảnh,放射技师
معالج بالتدليك,ম্যাসাজ থেরাপিস্ট,Massage Therapist,Masajista Terapéutico(a),Massothérapeute,मालिश चिकित्सक,マッサージ療法士,마사지 치료사,ਮਸਾਜ ਥੈਰੇਪਿਸਟ,Massoterapeuta,Массажист,Masaj Terapisti,Масажист,Chuyên viên xoa bóp trị liệu,按摩治疗师
عالم الأحياء الدقيقة,মাইক্রোবায়োলজিস্ট,Microbiologist,Microbiólogo(a),Microbiologiste,जीवाणुतत्ववेत्त,微生物学者,미생물학자,ਮਾਈਕ੍ਰੋਬਾਇਓਲੋਜਿਸਟ,Microbiologista,Микробиолог,Mikrobiyolog,Мікробіолог,Nhà vi sinh vật học,微生物学家
جراح مجهري,মাইক্রোসার্জন,Microsurgeon,Microcirujano(a),Microchirurgien,माइक्रोसर्जन,マイクロサージャン,미세수술 의사,ਮਾਈਕ੍ਰੋਸਰਜਨ,Microcirurgião(ã),Микрохирург,Mikrocerrah,Мікрохірург,Bác sĩ vi phẫu,显微外科医生
معالج موسيقى,মিউজিক থেরাপিস্ট,Music Therapist,Musicoterapeuta,Musicothérapeute,संगीत चिकित्सक,音楽療法士,음악 치료사,ਸੰਗੀਤ ਥੈਰੇਪਿਸਟ,Musicoterapeuta,Музыкальный терапевт,Müzik Terapisti,Музичний терапевт,Nhà trị liệu âm nhạc,音乐治疗师
طبيب استشاري,কনসাল্টিং ফিজিশিয়ান,Consulting Physician,Médico(a) Consultor(a),Médecin consultant,परामर्शदाता चिकित्सक,顧問医,자문의,ਸਲਾਹਕਾਰ ਡਾਕਟਰ,Médico(a) Consultor(a),Врач-консультант,Danışman Hekim,Лікар-консультант,Bác sĩ tư vấn,顾问医生
طبيب منسق لدار التمريض,নার্সিং হোম সমন্বয়কারী চিকিৎসক,Nursing Home Coordinating Physician,Médico(a) Coordinador(a) de Residencia de Ancianos,Médecin coordonnateur de la maison de retraite,नर्सिंग होम समन्वय चिकित्सक,老人ホーム担当調整医,요양원 협력의사,ਨਰਸਿੰਗ ਹੋਮ ਤਾਲਮੇਲਕ ਡਾਕਟਰ,Médico(a) Coordenador(a) de Casa de Repouso,Врач-координатор дома престарелых,Huzurevi Koordinatör Hekimi,Лікар-координатор будинку для людей похилого віку,Bác sĩ điều phối viện dưỡng lão,养老院协调医生
طبيب طب الإنجاب,প্রজনন ঔষধ ডাক্তার,Reproductive Medicine Doctor,Médico(a) de Medicina Reproductiva,Médecin en médecine de la reproduction,प्रजनन चिकित्सा चिकित्सक,生殖医療専門医,생식의학 전문의,ਪ੍ਰਜਨਨ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) de Medicina Reprodutiva,Врач-репродуктолог,Üreme Tıbbı Uzmanı,Лікар-репродуктолог,Bác sĩ y học sinh sản,生殖医学医生
طبيب الصحة العامة,জনস্বাস্থ্য ডাক্তার,Public Health Doctor,Médico(a) de Salud Pública,Médecin de santé publique,सार्वजनिक स्वास्थ्य चिकित्सक,公衆衛生医,공중보건의,ਜਨਤਕ ਸਿਹਤ ਡਾਕਟਰ,Médico(a) de Saúde Pública,Врач общественного здравоохранения,Halk Sağlığı Uzmanı,Лікар громадського здоров'я,Bác sĩ y tế công cộng,公共卫生医生
طبيب زراعة الأعضاء,ট্রান্সপ্লান্ট ডাক্তার,Transplant Doctor,Médico(a) de Trasplantes,Médecin spécialiste des transplantations,प्रत्यारोपण चिकित्सक,移植医,이식 전문의,ਟ੍ਰਾਂਸਪਲਾਂਟ ਡਾਕਟਰ,Médico(a) de Transplante,Врач-трансплантолог,Nakil Doktoru,Лікар-трансплантолог,Bác sĩ cấy ghép,移植医生
طبيب طب السفر,ভ্রমণ ঔষধ ডাক্তার,Travel Medicine Doctor,Médico(a) de Medicina del Viajero,Médecin spécialiste en médecine des voyages,यात्रा चिकित्सा चिकित्सक,トラベルドクター,여행의학 전문의,ਯਾਤਰਾ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) de Medicina do Viajante,Врач по медицине путешествий,Seyahat Sağlığı Hekimi,Лікар з медицини подорожей,Bác sĩ y học du lịch,旅行医学医生
طبيب الطب الرياضي,স্পোর্টস মেডিসিন ডাক্তার,Sports Medicine Doctor,Médico(a) de Medicina Deportiva,Médecin du sport,खेल चिकित्सा चिकित्सक,スポーツ医,스포츠의학 전문의,ਖੇਡ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) de Medicina Esportiva,Спортивный врач,Spor Hekimi,Лікар зі спортивної медицини,Bác sĩ y học thể thao,运动医学医生
طبيب طب مهني,পেশাগত ঔষধ ডাক্তার,Occupational Medicine Doctor,Médico(a) de Medicina del Trabajo,Médecin du travail,व्यावसायिक चिकित्सा चिकित्सक,産業医,산업의학 전문의,ਕਿੱਤਾਮੁਖੀ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) do Trabalho,Профпатолог,İşyeri Hekimi,Лікар-профпатолог,Bác sĩ y học nghề nghiệp,职业病医生
طبيب الرعاية التلطيفية,প্যালিয়েটিভ কেয়ার ডাক্তার,Palliative Care Doctor,Médico(a) de Cuidados Paliativos,Médecin en soins palliatifs,प्रशामक देखभाल चिकित्सक,緩和ケア医,완화의료 전문의,ਪੈਲੀਏਟਿਵ ਕੇਅਰ ਡਾਕਟਰ,Médico(a) de Cuidados Paliativos,Врач паллиативной помощи,Palyatif Bakım Doktoru,Лікар паліативної допомоги,Bác sĩ chăm sóc giảm nhẹ,姑息治疗医生
طبيب إنساني,মানবিক ডাক্তার,Humanitarian Doctor,Médico(a) Humanitario(a),Médecin humanitaire,मानवतावादी डॉक्टर,人道支援医師,인도주의 의사,ਮਾਨਵਤਾਵਾਦੀ ਡਾਕਟਰ,Médico(a) Humanitário(a),Врач гуманитарной миссии,İnsani Yardım Doktoru,Гуманітарний лікар,Bác sĩ nhân đạo,人道主义医生
طبيب طب الضغط العالي,হাইপারবারিক মেডিসিন ডাক্তার,Hyperbaric Medicine Doctor,Médico(a) de Medicina Hiperbárica,Médecin en médecine hyperbare,हाइपरबेरिक मेडिसिन डॉक्टर,高気圧酸素治療医,고압의학 전문의,ਹਾਈਪਰਬੈਰਿਕ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) de Medicina Hiperbárica,Врач-гипербарической оксигенации,Hiperbarik Tıp Uzmanı,Лікар з гіпербаричної медицини,Bác sĩ y học cao áp,高压氧医学医生
طبيب العناية المركزة,ইনটেনসিভ কেয়ার ডাক্তার,Intensive Care Doctor,Médico(a) de Cuidados Intensivos,Médecin de soins intensifs,गहन चिकित्सा चिकित्सक,集中治療医,중환자의학 전문의,ਇੰਟੈਂਸਿਵ ਕੇਅਰ ਡਾਕਟਰ,Médico(a) de Terapia Intensiva,Врач-реаниматолог,Yoğun Bakım Doktoru,Лікар інтенсивної терапії,Bác sĩ hồi sức tích cực,重症监护医生
طبيب شرعي,ফরেনসিক ডাক্তার,Forensic Doctor,Médico(a) Forense,Médecin légiste,फोरेंसिक डॉक्टर,法医学医,법의관,ਫੋਰੈਂਸਿਕ ਡਾਕਟਰ,Médico(a) Legista,Судебно-медицинский эксперт,Adli Tıp Uzmanı,Судово-медичний експерт,Bác sĩ pháp y,法医
طبيب عسكري,মিলিটারি ডাক্তার,Military Doctor,Médico(a) Militar,Médecin militaire,सैन्य चिकित्सक,軍医,군의관,ਮਿਲਟਰੀ ਡਾਕਟਰ,Médico(a) Militar,Военный врач,Askeri Doktor,Військовий лікар,Bác sĩ quân đội,军医
طبيب الطب النووي,নিউক্লিয়ার মেডিসিন ডাক্তার,Nuclear Medicine Doctor,Médico(a) de Medicina Nuclear,Docteur en médecine nucléaire,न्यूक्लियर मेडिसिन डॉक्टर,核医学専門医,핵의학과 전문의,ਪ੍ਰਮਾਣੂ ਦਵਾਈਆਂ ਦਾ ਡਾਕਟਰ,Médico(a) de Medicina Nuclear,Врач ядерной медицины,Nükleer Tıp Uzmanı,Лікар з ядерної медицини,Bác sĩ y học hạt nhân,核医学医生
طبيب التغذية,পুষ্টি ডাক্তার,Nutrition Doctor,Médico(a) Nutricionista,Médecin nutritionniste,पोषण चिकित्सक,栄養専門医,영양 전문 의사,ਪੋਸ਼ਣ ਡਾਕਟਰ,Médico(a) Nutrólogo(a),Врач-диетолог,Beslenme Uzmanı Hekim,Лікар-дієтолог,Bác sĩ dinh dưỡng,营养科医生
طبيب الطب الفيزيائي وإعادة التأهيل,ফিজিক্যাল মেডিসিন এবং রিহ্যাবিলিটেশন ডাক্তার,Physical Medicine and Rehabilitation Doctor,Médico(a) de Medicina Física y Rehabilitación,Médecin en médecine physique et réadaptation,भौतिक चिकित्सा और पुनर्वास चिकित्सक,リハビリテーション科医,재활의학과 전문의,ਸਰੀਰਕ ਦਵਾਈ ਅਤੇ ਮੁੜ-ਵਸੇਬਾ ਡਾਕਟਰ,Médico(a) Fisiatra,Врач-реабилитолог,Fiziksel Tıp ve Rehabilitasyon Uzmanı,Лікар фізичної та реабілітаційної медицини,Bác sĩ vật lý trị liệu và phục hồi chức năng,物理医学与康复科医生
طبيب الإنعاش,রিসাসিটেশন ডাক্তার,Resuscitation Doctor,Médico(a) de Reanimación,Médecin réanimateur,पुनर्जीवन चिकित्सक,蘇生医,소생의학 전문의,ਪੁਨਰ-ਸੁਰਜੀਤੀ ਡਾਕਟਰ,Médico(a) Reanimador(a),Врач-реаниматолог,Resüsitasyon Doktoru,Лікар-реаніматолог,Bác sĩ hồi sức cấp cứu,复苏科医生
طبيب المدرسة,স্কুল ডাক্তার,School Doctor,Médico(a) Escolar,Médecin scolaire,स्कूल डॉक्टर,学校医,학교 의사,ਸਕੂਲ ਡਾਕਟਰ,Médico(a) Escolar,Школьный врач,Okul Hekimi,Шкільний лікар,Bác sĩ học đường,校医
طبيب الطوارئ,জরুরী ডাক্তার,Emergency Doctor,Médico(a) de Urgencias,Médecin urgentiste,आपातकालीन डॉक्टर,救急医,응급의학과 전문의,ਐਮਰਜੈਂਸੀ ਡਾਕਟਰ,Médico(a) de Emergência,Врач скорой помощи,Acil Tıp Uzmanı,Лікар невідкладної допомоги,Bác sĩ cấp cứu,急诊科医生
وسيط صحي,স্বাস্থ্য মধ্যস্থতাকারী,Health Mediator,Mediador(a) de Salud,Médiateur de la santé,स्वास्थ्य मध्यस्थ,医療メディエーター,보건의료 중재자,ਸਿਹਤ ਵਿਚੋਲਾ,Mediador(a) de Saúde,Медицинский посредник,Sağlık Arabulucusu,Медіатор у сфері охорони здоров'я,Người trung gian y tế,健康调解员
وسيط صحي,স্বাস্থ্য মধ্যস্থতাকারী,Health Mediator,Mediador(a) Sanitario(a),Médiateur de la santé,स्वास्थ्य मध्यस्थ,保健メディエーター,건강 중재자,ਸਿਹਤ ਸਲਾਹਕਾਰ,Mediador(a) Sanitário(a),Медиатор в здравоохранении,Sağlık Alanında Arabulucu,Медіатор у сфері охорони здоров'я,Nhân viên hòa giải y tế,医患关系调解员
طبيب طبيعي,ন্যাচারোপ্যাথ,Naturopath,Naturópata,Naturopathe,प्राकृतिक चिकित्सक,自然療法士,자연요법사,ਨੈਚਰੋਪੈਥ,Naturopata,Натуропат,Naturopat,Натуропат,Thầy thuốc tự nhiên,自然疗法医师
جراح أعصاب,নিউরোসার্জন,Neurosurgeon,Neurocirujano(a),Neurochirurgien,न्यूरोसर्जन,脳神経外科医,신경외과 의사,ਨਿਊਰੋਸਰਜਨ,Neurocirurgião(ã),Нейрохирург,Beyin ve Sinir Cerrahı,Нейрохірург,Bác sĩ phẫu thuật thần kinh,神经外科医生
طبيب أعصاب,নিউরোলজিস্ট,Neurologist,Neurólogo(a),Neurologue,न्यूरोलॉजिस्ट,神経内科医,신경과 의사,ਨਿਊਰੋਲੋਜਿਸਟ,Neurologista,Невролог,Nöroloji Uzmanı,Невролог,Bác sĩ thần kinh,神经科医生
أخصائي فيزيولوجيا الأعصاب,নিউরোফিজিওলজিস্ট,Neurophysiologist,Neurofisiólogo(a),Neurophysiologiste,न्यूरोफिज़ियोलॉजिस्ट,神経生理学者,신경생리학자,ਨਿਊਰੋਫਿਜ਼ਿਓਲੋਜਿਸਟ,Neurofisiologista,Нейрофизиолог,Nörofizyolog,Нейрофізіолог,Bác sĩ sinh lý thần kinh,神经生理学家
أخصائي علم النفس العصبي,নিউরোসাইকোলজিস্ট,Neuropsychologist,Neuropsicólogo(a),Neuropsychologue,न्यूरोसाइकोलॉजिस्ट,神経心理学者,신경심리학자,ਨਿਊਰੋਸਾਈਕੋਲੋਜਿਸਟ,Neuropsicólogo(a),Нейропсихолог,Nöropsikolog,Нейропсихолог,Bác sĩ tâm lý thần kinh,神经心理学家
